gridid,join_count_d,join_count_o,time_sum,lat,lng
1,1,0,80.75,30.5361195,103.9027863
2,1,1,35.66666667,30.5361195,103.9197769
3,0,2,0,30.5361195,103.9367676
4,0,0,0,30.5361195,103.9537582
5,18,14,962.5166667,30.5361195,103.9707489
6,12,12,708.8,30.5361195,103.9877472
7,3,7,109.15,30.5361195,104.0047379
8,0,1,0,30.5361195,104.0217285
9,20,27,831.25,30.5361195,104.0387192
10,53,58,2253.5,30.5361195,104.0557098
11,97,65,3892.266667,30.5361195,104.0727081
12,40,37,1618.25,30.5361195,104.0896988
13,1,2,42.61666667,30.5361195,104.1066895
14,0,2,0,30.5361195,104.1236801
15,3,3,122.7166667,30.5361195,104.1406708
16,0,0,0,30.5361195,104.1576691
17,0,3,0,30.5361195,104.1746597
18,0,2,0,30.5361195,104.1916504
19,0,2,0,30.5361195,104.2086411
20,1,2,33.63333333,30.5361195,104.2256317
21,3,1,197.4333333,30.5501289,103.9027863
22,6,4,293.1,30.5501289,103.9197769
23,5,2,232.8833333,30.5501289,103.9367676
24,6,3,270.0166667,30.5501289,103.9537582
25,10,8,533.55,30.5501289,103.9707489
26,48,40,2275.583333,30.5501289,103.9877472
27,32,38,1645.416667,30.5501289,104.0047379
28,7,5,308.35,30.5501289,104.0217285
29,157,138,6460.3,30.5501289,104.0387192
30,188,144,7551.416667,30.5501289,104.0557098
31,229,306,8373.816667,30.5501289,104.0727081
32,126,143,4619.266667,30.5501289,104.0896988
33,19,18,774.8,30.5501289,104.1066895
34,2,1,67.1,30.5501289,104.1236801
35,7,4,263.9333333,30.5501289,104.1406708
36,0,0,0,30.5501289,104.1576691
37,1,2,37.93333333,30.5501289,104.1746597
38,6,10,279.4833333,30.5501289,104.1916504
39,1,0,37.26666667,30.5501289,104.2086411
40,2,0,80.68333333,30.5501289,104.2256317
41,16,17,1240.683333,30.5641403,103.9027863
42,60,60,3303,30.5641403,103.9197769
43,20,27,1033.9,30.5641403,103.9367676
44,424,725,16038.51667,30.5641403,103.9537582
45,76,82,3152.083333,30.5641403,103.9707489
46,100,102,4680.5,30.5641403,103.9877472
47,118,135,4966.066667,30.5641403,104.0047379
48,57,64,2497,30.5641403,104.0217285
49,22,40,858.4666667,30.5641403,104.0387192
50,116,158,4232.483333,30.5641403,104.0557098
51,90,82,3209.083333,30.5641403,104.0727081
52,88,78,3104.633333,30.5641403,104.0896988
53,16,11,553.65,30.5641403,104.1066895
54,5,9,217.2333333,30.5641403,104.1236801
55,6,8,242.15,30.5641403,104.1406708
56,11,16,562.9166667,30.5641403,104.1576691
57,43,54,2109.066667,30.5641403,104.1746597
58,30,32,1191.816667,30.5641403,104.1916504
59,15,30,724.9,30.5641403,104.2086411
60,3,7,131.1,30.5641403,104.2256317
61,10,12,527.75,30.5781517,103.9027863
62,66,55,3496.6,30.5781517,103.9197769
63,27,21,1390.633333,30.5781517,103.9367676
64,156,570,5870.05,30.5781517,103.9537582
65,38,29,1883.5,30.5781517,103.9707489
66,156,173,6672.366667,30.5781517,103.9877472
67,110,142,4570.35,30.5781517,104.0047379
68,54,41,1866.633333,30.5781517,104.0217285
69,101,79,3209.816667,30.5781517,104.0387192
70,356,325,11532.98333,30.5781517,104.0557098
71,62,66,2032.883333,30.5781517,104.0727081
72,9,7,389.8833333,30.5781517,104.0896988
73,4,8,177.25,30.5781517,104.1066895
74,10,12,360.4,30.5781517,104.1236801
75,22,50,998.5833333,30.5781517,104.1406708
76,49,44,1906.116667,30.5781517,104.1576691
77,2,3,80.58333333,30.5781517,104.1746597
78,45,73,1933.183333,30.5781517,104.1916504
79,22,15,909.7166667,30.5781517,104.2086411
80,3,12,134.5333333,30.5781517,104.2256317
81,3,16,185.7,30.5921612,103.9027863
82,33,38,1794.933333,30.5921612,103.9197769
83,42,25,2154.766667,30.5921612,103.9367676
84,53,47,2754.75,30.5921612,103.9537582
85,26,22,1237.033333,30.5921612,103.9707489
