LGTD,LTTD,VENDER,CREATETIME,STLC,Z,text
119.308464659,26.1125262942,三鑫隆,2019-03-10 11:48:31,鼓楼区北二环（金鸡山-晋安河）（福建送变电大厦）,121.0,北二环（金鸡山-晋安河）（福建送变电大厦）
119.300905448,26.1209161225,三鑫隆,2019-03-10 11:48:31,晋安区琴亭湖高架桥2 Y1200160153,22.2,琴亭湖高架桥2 Y1200160153
119.301664275,26.096962248,三鑫隆,2019-03-10 11:48:31,鼓楼区湖东路（中银大厦）,19.2,湖东路（中银大厦）
119.27817441,26.0785934891,三鑫隆,2019-03-10 11:48:31,鼓楼区福屿路YS3153420025,15.1,福屿路YS3153420025
119.295130492,26.0524616402,三鑫隆,2019-03-10 11:48:31,台江区同德路YS3223560117,14.9,同德路YS3223560117
119.303094788,26.0967254099,三鑫隆,2019-03-10 11:48:31,鼓楼区湖东路ABYS3253320538,12.3,湖东路ABYS3253320538
119.319873469,26.0799167626,三鑫隆,2019-03-10 11:48:31,晋安区福马路YS3323410039,11.8,福马路YS3323410039
119.300428789,26.0774883841,三鑫隆,2019-03-10 11:48:31,鼓楼区新权南路ABYS3243425052,9.6,新权南路ABYS3243425052
119.29078438,26.0567532578,三鑫隆,2019-03-10 11:48:31,台江区宁化路BS3203543647,7.5,宁化路BS3203543647
119.277461056,26.0853912662,三鑫隆,2019-03-10 11:48:31,鼓楼区市公路局门口及对面右拐辅道,7.0,市公路局门口及对面右拐辅道
119.3956543098,26.0295766608,三鑫隆,2019-07-01 11:48:31,晋安区宗棠路正新轮胎北145米,2.4,宗棠路铁路下穿
119.354832542,26.0890844687,三鑫隆,2019-03-10 11:48:31,晋安区福塘路YS3463360028,2.3,福塘路YS3463360028
119.302277615,26.072271045,三鑫隆,2019-03-10 11:48:31,台江区群众路和广达路交叉路口,2.2,群众路和广达路交叉路口
119.313074809,26.0882810251,三鑫隆,2019-03-10 11:48:31,晋安区晋安中路YS3293360040,1.4,晋安中路YS3293360040
119.4507291247,25.9921107548,三鑫隆,2019-07-01 11:48:31,马尾区君竹路福州市马尾区发展和改革局附近7米,1.2,3004君竹路与罗建路 马尾步行街对面区政府门口
119.306440415,26.0783341029,三鑫隆,2019-03-10 11:48:31,鼓楼区五一中路ABYS3273423454,0.4,五一中路ABYS3273423454
119.309848077,26.1071577326,三鑫隆,2019-03-10 11:48:31,晋安区华林路YS3283260011,0.0,华林路YS3283260011
119.280520122,26.0659502287,三鑫隆,2019-03-10 11:48:31,台江区祥坂路,0.0,祥坂路
119.271921664,26.0248942897,三鑫隆,2019-03-10 11:48:31,仓山区奥体周边道路（盘屿路、纵一路）1#（盘屿路）,0.0,奥体周边道路（盘屿路、纵一路）1#（盘屿路）
119.311606,26.1031403577,三鑫隆,2019-03-10 11:48:31,晋安区五四路中央商务区六一北路YS3293280083,0.0,五四路中央商务区六一北路YS3293280083
119.271560195,26.0634639196,三鑫隆,2019-03-10 11:48:31,台江区CBD江滨下穿通道,0.0,CBD江滨下穿通道
119.350690243,26.0270209415,三鑫隆,2019-03-10 11:48:31,仓山区林浦路辅道,0.0,林浦路辅道
119.248785099,26.0911850177,三鑫隆,2019-03-10 11:48:31,鼓楼区大儒世家,0.0,大儒世家
119.297408518,26.0847805958,三鑫隆,2019-03-10 11:48:31,鼓楼区南营巷ABYS3233382787,0.0,南营巷ABYS3233382787
119.323227523,26.1441398112,三鑫隆,2019-03-10 11:48:31,晋安区秀峰路DS3333050053,0.0,秀峰路DS3333050053
119.29706151,26.0617229979,三鑫隆,2019-03-10 11:48:31,台江区奋斗里YS3233510011,0.0,奋斗里YS3233510011
119.348626634,26.0210831868,三鑫隆,2019-03-10 11:48:31,仓山区仓山科技园,0.0,仓山科技园
119.232827291,26.0536404495,三鑫隆,2019-03-10 11:48:31,仓山区橘园洲桥下,0.0,橘园洲桥下
119.29382667,26.0619401784,三鑫隆,2019-03-10 11:48:31,台江区奋斗里YS3223510008,0.0,奋斗里YS3223510008
119.277221946,26.0993429283,三鑫隆,2019-03-10 11:48:31,鼓楼区象山隧道上桥处,0.0,象山隧道上桥处
119.314645362,26.0680379336,三鑫隆,2019-03-10 11:48:31,台江区国货西路YS3303470029,0.0,国货西路YS3303470029
119.318794228,26.076330068,三鑫隆,2019-03-10 11:48:31,晋安区晋安南路YS3323430028,0.0,晋安南路YS3323430028
119.304760729,26.0771282796,三鑫隆,2019-03-10 11:48:31,鼓楼区海底路ABYS3263423277,0.0,海底路ABYS3263423277
119.283849884,26.065709443,三鑫隆,2019-03-10 11:48:31,台江区工业路YS3183490013,0.0,工业路YS3183490013
119.299461693,26.0917452767,三鑫隆,2019-03-10 11:48:31,鼓楼区井大路与卫前街交叉口,0.0,井大路与卫前街交叉口
119.32044598,26.0664702448,三鑫隆,2019-03-10 11:48:31,晋安区文博路YS3323480059,0.0,文博路YS3323480059
119.313244583,26.1134741626,三鑫隆,2019-03-10 11:48:31,晋安区福州火车站1 Y4200660081,0.0,福州火车站1 Y4200660081
119.361124141,26.0821412766,三鑫隆,2019-03-10 11:48:31,晋安区埠兴路AS3493403060,0.0,埠兴路AS3493403060
119.276901248,26.0838612278,三鑫隆,2019-03-10 11:48:31,鼓楼区福屿路YS3153390028,0.0,福屿路YS3153390028
119.312275582,26.0876020761,三鑫隆,2019-03-10 11:48:31,鼓楼区六一路得贵路口,0.0,六一路得贵路口
119.32678373,26.1024280114,三鑫隆,2019-03-10 11:48:31,晋安区三八路YS3353280038,0.0,三八路YS3353280038
119.300222816,26.0923013554,三鑫隆,2019-03-10 11:48:31,鼓楼区庆城路ABYS3243341725,0.0,庆城路ABYS3243341725
119.295203769,26.0246969131,三鑫隆,2019-03-10 11:48:31,仓山区南二环路省疫木场,0.0,南二环路省疫木场
119.284325048,26.0676028021,三鑫隆,2019-03-10 11:48:31,台江区西二环路YS3183480025,0.0,西二环路YS3183480025
119.277057187,26.0695859795,三鑫隆,2019-03-10 11:48:31,台江区斗池路YS3153460004,0.0,斗池路YS3153460004
119.316040194,26.1369510727,三鑫隆,2019-03-10 11:48:31,晋安区秀峰路蓝山四季Y4000910009,0.0,秀峰路蓝山四季Y4000910009
119.307280916,26.1195638435,三鑫隆,2019-03-10 11:48:31,晋安区东浦路Y4200000061,0.0,东浦路Y4200000061
119.285033656,26.0625668935,三鑫隆,2019-03-10 11:48:31,台江区东南眼科（二环路两侧）,0.0,东南眼科（二环路两侧）
119.308380078,26.0661442919,三鑫隆,2019-03-10 11:48:31,台江区汽车南站,0.0,汽车南站
119.294535465,26.1115927865,三鑫隆,2019-03-10 11:48:31,鼓楼区二环路华屏路口,0.0,二环路华屏路口
119.301942845,26.1118388886,三鑫隆,2019-03-10 11:48:31,鼓楼区北二环（晋安河-五四路）,0.0,北二环（晋安河-五四路）
119.366132661,26.063391241,三鑫隆,2019-03-10 11:48:31,晋安区福马路与铁路口下穿,0.0,福马路与铁路口下穿
